20230716	16:27:58	e6bac031-f97d-47a9-a34b-ed0d9a215d7a	/boo	GET
20230716	16:27:58	c793c0d5-2f24-40ca-bfd1-e418e6ead0a8	/css/style.css	GET
20230716	16:27:58	37f53e35-8b88-4181-a234-69a3c69d36e1	/favicon.ico	GET
20230716	16:29:12	a73e2913-6f02-4dbf-ae03-423ad651c7ab	/new-page.html	GET
20230716	16:29:12	09971010-47ab-4c42-8fbd-04fa21c53c4c	/favicon.ico	GET
20230716	16:30:04	a65cb6f7-9782-4217-a827-a6d93ca67a10	/new-page.html	GET
20230716	16:30:04	baed1b8d-7650-4fff-82a9-0ab929dad019	/css/style.css	GET
20230716	16:30:04	f1311be1-5872-4821-9194-b265a8d0331a	/img/img1.jpg	GET
20230716	16:30:04	b92e872a-8c2b-45c9-9311-0c507cac841b	/favicon.ico	GET
20230716	18:00:30	8675292f-a0f0-455b-a1b7-c29ff577025b	GET	undefined	/new-page.html
20230716	18:00:30	4f9ace88-6c83-4480-bceb-20ee1f66c9fe	GET	undefined	/css/style.css
20230716	18:00:30	283456d7-93c5-424f-8ef4-b7307499142c	GET	undefined	/img/img1.jpg
20230716	18:00:30	dcaf03c2-af75-4ac1-91b5-5cd9e556b540	GET	undefined	/favicon.ico
20230716	20:01:15	af1248d0-6e6d-44e8-a412-760f3a72a887	GET	undefined	/new-page.html
20230716	20:01:15	2bf0e2c9-7a06-4ece-8686-d30fc774fe7c	GET	undefined	/css/style.css
20230716	20:01:15	09ed7547-66e9-45bf-9a5b-10efc4bcc2bf	GET	undefined	/img/img1.jpg
20230716	20:01:15	1474eabe-1beb-4e27-ab5a-9dffe7d5da7e	GET	undefined	/favicon.ico
20230716	20:03:10	ad428d14-00b3-4c97-a137-9366cf840776	OPTIONS	https://www.google.com	/
20230716	20:03:10	9b6f527c-c91e-4c1b-993a-ca3598a52606	GET	https://www.google.com	/
20230716	20:07:31	c634bbc7-a5d4-4a75-902d-e22a60ae4166	OPTIONS	https://www.google.com	/
20230716	20:07:31	6b9a97cc-cd77-4638-bd80-ab1d3866f887	GET	https://www.google.com	/
20230716	20:17:05	5b17b4a6-4573-48ae-bff5-1d8478fa4b96	OPTIONS	https://www.google.com	/
20230716	20:17:05	19a003ba-fa9f-4f6f-ae5e-0f5d3c81bb65	GET	https://www.google.com	/
20230716	20:17:38	753534ea-aa70-40c8-a8c6-92e2df1dad91	OPTIONS	https://www.google.com	/
20230716	20:17:38	c72af381-f39a-4fe9-8dca-a4452f54e92b	GET	https://www.google.com	/
20230716	20:18:37	131895b3-e269-4763-a451-89f2750e070a	OPTIONS	https://www.google.com	/
20230716	20:18:37	d19ade8a-46ae-436f-aee0-d966bfbdaca5	GET	https://www.google.com	/
20230716	20:22:33	9ed411f2-5d76-47ac-9429-8dc81e541761	GET	undefined	/new-page.html
20230716	20:28:59	dcd942d6-a061-4416-932c-7ee6e995cda8	GET	undefined	/new-page.html
20230716	20:28:59	22e6bb5a-d212-4fa0-928b-48f84e973eed	GET	undefined	/css/style.css
20230716	20:28:59	91947671-d67e-434a-9bd3-f37e775317bc	GET	undefined	/img/img1.jpg
20230716	20:28:59	f7ff31d5-a442-49ce-8ee8-0f8adb67f18b	GET	undefined	/favicon.ico
20230716	20:35:22	1c948230-4a87-4772-8041-03e2dcca321f	GET	undefined	/new-page.html
20230716	20:37:35	984b7f7f-9888-4850-90be-50f0b356bcfd	GET	undefined	/new-page.html
20230716	20:37:38	d252352d-db26-449a-9dee-fbc182535583	GET	undefined	/new-page.html
20230716	20:37:39	4488001f-1da7-4ac6-9a24-b963acd4997f	GET	undefined	/new-page.html
20230716	20:37:40	e4136ebb-b60c-431a-a3fe-533f03e089fa	GET	undefined	/new-page.html
20230716	20:37:40	e6187368-ce52-4355-8088-2023e2d1d174	GET	undefined	/new-page.html
20230716	20:37:40	1215367f-184c-42c7-8c56-f5d84d04f651	GET	undefined	/new-page.html
20230716	20:37:41	5e6574a4-c7c8-46ca-8180-8183a718d965	GET	undefined	/new-page.html
20230716	20:37:41	acab8bd8-cb3f-4a94-b11c-c30eed17ab14	GET	undefined	/new-page.html
20230716	20:37:41	74346a4f-a2d4-47e5-b60e-130893852ca4	GET	undefined	/new-page.html
20230716	20:37:49	dd775721-c5ab-4dcf-a504-3a6d20ca8ec9	GET	undefined	/
20230716	20:38:24	7b2c1c40-831b-4b5c-a984-9be10b422cf5	GET	undefined	/new-page.html
20230716	20:43:04	e1bcbb23-63cf-4b60-8da8-d25653305614	GET	undefined	/new-page.html
20230716	20:46:05	48a2855d-4b40-41eb-9e79-174ecc3bb257	GET	undefined	/new-page.html
20230716	20:46:05	b3cc09da-3412-4cf9-9ff9-7e30f08cca0e	GET	undefined	/css/style.css
20230716	20:46:05	3028517c-8807-4ad5-ae30-1e21b7cf2515	GET	undefined	/img/img1.jpg
20230716	20:46:05	7dcdc1aa-d9c6-4e9d-b9ae-ebf36dce5480	GET	undefined	/favicon.ico
20230716	20:46:13	c1280e6b-5c43-47d6-996e-18a5627516c3	GET	undefined	/new-page.html
